,arm_name,metric_name,mean,sem,trial_index,n,frac_nonnull,rep,runner
0,0_0,objective,50.094935775104574,1.0,0,2000,50.094935775104574,0,MTGP
1,0_1,objective,60.63858519783921,1.0,0,2000,60.63858519783921,0,MTGP
2,0_2,objective,36.57653932180195,1.0,0,2000,36.57653932180195,0,MTGP
3,0_3,objective,34.691549091004134,1.0,0,2000,34.691549091004134,0,MTGP
4,0_4,objective,44.09989758580938,1.0,0,2000,44.09989758580938,0,MTGP
5,1_0,offline_objective,60.37242583560678,1.0,1,500,60.37242583560678,0,MTGP
6,1_1,offline_objective,66.42861530746012,1.0,1,500,66.42861530746012,0,MTGP
7,1_2,offline_objective,74.90919655541535,1.0,1,500,74.90919655541535,0,MTGP
8,1_3,offline_objective,62.18022412701306,1.0,1,500,62.18022412701306,0,MTGP
9,1_4,offline_objective,64.52027791908455,1.0,1,500,64.52027791908455,0,MTGP
10,1_5,offline_objective,54.976576788238845,1.0,1,500,54.976576788238845,0,MTGP
11,1_6,offline_objective,53.42667145398381,1.0,1,500,53.42667145398381,0,MTGP
12,1_7,offline_objective,56.09016064272118,1.0,1,500,56.09016064272118,0,MTGP
13,1_8,offline_objective,61.87285165950475,1.0,1,500,61.87285165950475,0,MTGP
14,1_9,offline_objective,62.00827478568273,1.0,1,500,62.00827478568273,0,MTGP
15,1_10,offline_objective,58.11889530018564,1.0,1,500,58.11889530018564,0,MTGP
16,1_11,offline_objective,70.7724518392615,1.0,1,500,70.7724518392615,0,MTGP
17,1_12,offline_objective,66.9210935047892,1.0,1,500,66.9210935047892,0,MTGP
18,1_13,offline_objective,70.4072610354384,1.0,1,500,70.4072610354384,0,MTGP
19,1_14,offline_objective,59.245084442718415,1.0,1,500,59.245084442718415,0,MTGP
20,1_15,offline_objective,64.65484865838,1.0,1,500,64.65484865838,0,MTGP
21,1_16,offline_objective,74.88188244470047,1.0,1,500,74.88188244470047,0,MTGP
22,1_17,offline_objective,84.15564980223267,1.0,1,500,84.15564980223267,0,MTGP
23,1_18,offline_objective,61.51046033716085,1.0,1,500,61.51046033716085,0,MTGP
24,1_19,offline_objective,71.70308889290531,1.0,1,500,71.70308889290531,0,MTGP
25,2_0,offline_objective,82.12667963754603,1.0,2,2000,82.12667963754603,0,MTGP
26,2_1,offline_objective,79.67112094414072,1.0,2,2000,79.67112094414072,0,MTGP
27,2_2,offline_objective,83.4159011995075,1.0,2,2000,83.4159011995075,0,MTGP
28,2_3,offline_objective,79.80043272293882,1.0,2,2000,79.80043272293882,0,MTGP
29,2_4,offline_objective,79.41185167643239,1.0,2,2000,79.41185167643239,0,MTGP
30,2_1,objective,97.29138055323149,1.0,3,10000,97.29138055323149,0,MTGP
31,4_0,offline_objective,79.9016559773266,1.0,4,2000,79.9016559773266,0,MTGP
32,4_1,offline_objective,88.9484474397791,1.0,4,2000,88.9484474397791,0,MTGP
33,4_2,offline_objective,78.71210491615794,1.0,4,2000,78.71210491615794,0,MTGP
34,4_3,offline_objective,87.8042681202944,1.0,4,2000,87.8042681202944,0,MTGP
35,4_4,offline_objective,84.1750264486243,1.0,4,2000,84.1750264486243,0,MTGP
36,4_1,objective,106.34331415741676,1.0,5,10000,106.34331415741676,0,MTGP
37,6_0,offline_objective,90.78438065440076,1.0,6,2000,90.78438065440076,0,MTGP
38,6_1,offline_objective,82.47014659714893,1.0,6,2000,82.47014659714893,0,MTGP
39,6_2,offline_objective,74.07479937362909,1.0,6,2000,74.07479937362909,0,MTGP
40,6_3,offline_objective,70.96722781647458,1.0,6,2000,70.96722781647458,0,MTGP
41,6_4,offline_objective,86.27455236580823,1.0,6,2000,86.27455236580823,0,MTGP
42,6_3,objective,91.50160980374513,1.0,7,10000,91.50160980374513,0,MTGP
43,8_0,offline_objective,80.020743744056,1.0,8,2000,80.020743744056,0,MTGP
44,8_1,offline_objective,81.58444051642051,1.0,8,2000,81.58444051642051,0,MTGP
45,8_2,offline_objective,83.35038560429078,1.0,8,2000,83.35038560429078,0,MTGP
46,8_3,offline_objective,92.42040903670028,1.0,8,2000,92.42040903670028,0,MTGP
47,8_4,offline_objective,83.38258497333082,1.0,8,2000,83.38258497333082,0,MTGP
48,8_4,objective,103.93694959371038,1.0,9,10000,103.93694959371038,0,MTGP
49,10_0,offline_objective,83.65837304695563,1.0,10,2000,83.65837304695563,0,MTGP
50,10_1,offline_objective,80.67518032471887,1.0,10,2000,80.67518032471887,0,MTGP
51,10_2,offline_objective,83.65183504380948,1.0,10,2000,83.65183504380948,0,MTGP
52,10_3,offline_objective,91.35366926854529,1.0,10,2000,91.35366926854529,0,MTGP
53,10_4,offline_objective,84.5463670709967,1.0,10,2000,84.5463670709967,0,MTGP
54,10_4,objective,110.08946123159889,1.0,11,10000,110.08946123159889,0,MTGP
55,12_0,offline_objective,88.06823047365324,1.0,12,2000,88.06823047365324,0,MTGP
56,12_1,offline_objective,85.60723202090706,1.0,12,2000,85.60723202090706,0,MTGP
57,12_2,offline_objective,91.54028628985472,1.0,12,2000,91.54028628985472,0,MTGP
58,12_3,offline_objective,91.00071387252483,1.0,12,2000,91.00071387252483,0,MTGP
59,12_4,offline_objective,89.96838910222861,1.0,12,2000,89.96838910222861,0,MTGP
60,12_1,objective,108.0097099406084,1.0,13,10000,108.0097099406084,0,MTGP
61,14_0,offline_objective,82.62458230645176,1.0,14,2000,82.62458230645176,0,MTGP
62,14_1,offline_objective,93.02556240490476,1.0,14,2000,93.02556240490476,0,MTGP
63,14_2,offline_objective,91.96710002214529,1.0,14,2000,91.96710002214529,0,MTGP
64,14_3,offline_objective,86.8712158541594,1.0,14,2000,86.8712158541594,0,MTGP
65,14_4,offline_objective,81.45870566591776,1.0,14,2000,81.45870566591776,0,MTGP
66,14_1,objective,106.94838821701443,1.0,15,10000,106.94838821701443,0,MTGP
67,16_0,offline_objective,85.91168054712514,1.0,16,2000,85.91168054712514,0,MTGP
68,16_1,offline_objective,83.24860146375687,1.0,16,2000,83.24860146375687,0,MTGP
69,16_2,offline_objective,89.2941810100961,1.0,16,2000,89.2941810100961,0,MTGP
70,16_3,offline_objective,92.19684588516513,1.0,16,2000,92.19684588516513,0,MTGP
71,16_4,offline_objective,87.56785254840044,1.0,16,2000,87.56785254840044,0,MTGP
72,16_3,objective,107.8130650553901,1.0,17,10000,107.8130650553901,0,MTGP
73,18_0,offline_objective,87.46514048459811,1.0,18,2000,87.46514048459811,0,MTGP
74,18_1,offline_objective,86.86909889755991,1.0,18,2000,86.86909889755991,0,MTGP
75,18_2,offline_objective,82.02883511436914,1.0,18,2000,82.02883511436914,0,MTGP
76,18_3,offline_objective,83.06164876632032,1.0,18,2000,83.06164876632032,0,MTGP
77,18_4,offline_objective,86.50639620336389,1.0,18,2000,86.50639620336389,0,MTGP
78,18_2,objective,108.97294809349691,1.0,19,10000,108.97294809349691,0,MTGP
79,20_0,offline_objective,89.37768161247874,1.0,20,2000,89.37768161247874,0,MTGP
80,20_1,offline_objective,80.83222718462193,1.0,20,2000,80.83222718462193,0,MTGP
81,20_2,offline_objective,88.95516910639431,1.0,20,2000,88.95516910639431,0,MTGP
82,20_3,offline_objective,96.32021913296185,1.0,20,2000,96.32021913296185,0,MTGP
83,20_4,offline_objective,89.50243810310937,1.0,20,2000,89.50243810310937,0,MTGP
84,20_0,objective,110.69548377018823,1.0,21,10000,110.69548377018823,0,MTGP
